Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
IoT (Internet of Things),Hybrid,9.4,"Presentation Skills, Conflict Resolution, Work Ethic, Goal-Oriented Mindset, Negotiation",PowerShell,"CircleCI, VS Code, Azure, GitHub, React, Tableau",Microsoft Certified: Azure AI Engineer,True,True,7,"Debate Clubs, Coding Clubs, Club Leadership Roles, 3D Modeling","Linear Algebra, Ethical Hacking",3,Creative,Bioinformatics Engineer
Networking,Remote,8.3,Decision Making,,"Docker, Weights & Biases","Microsoft Certified Azure Fundamentals, AWS Certified Solutions Architect - Associate",True,True,3,"Podcast Creation, 3D Modeling, AR/VR Projects","Distributed Systems, Computer Networks",1,"Strategic Thinking, Innovative",Cloud Engineer
"Machine Learning, Business Analysis, Site Reliability Engineering (SRE)",On-site,6.7,"Problem Solving, Attention to Detail, Adaptability, Conflict Resolution","SQL, Scala","Jira, Helm, Spark, DBT, Android Studio",Microsoft Certified: Azure AI Engineer,False,False,1,"Mentorship Programs, Community Service, 3D Modeling, Open Source Contributions","Big Data Analytics, Cloud Computing, Psychology",1,Pragmatic,Quality Assurance Engineer
"Quantum Computing, Systems Programming",Hybrid,9.7,"Communication, Critical Thinking, Emotional Intelligence","Python, Shell (Bash), Go, Julia","IntelliJ IDEA, Google Colab, Weights & Biases",Microsoft Certified Azure Fundamentals,True,True,1,,"Data Mining, Digital Logic Design",0,Systematic,Research Intern (AI/ML)
"Full Stack Development, Design Systems",On-site,8.1,Active Listening,"Dart, Java","GitLab CI/CD, Kafka, JUnit, Angular, Ansible",Docker Certified Associate,True,True,3,"UI/UX Projects, Debate Clubs, Coding Clubs, Animation Design","Web Technologies, Operating Systems, Big Data Analytics, Digital Logic Design",3,"Logical, Analytical",MS in Computer Science
"Deep Learning, Technical Writing, Cybersecurity",On-site,9.0,"Active Listening, Multitasking, Innovative Thinking, Negotiation","Swift, Scala","Android Studio, Weights & Biases, Looker",SAFe Agilist Certification,True,True,7,"Entrepreneurship Clubs, Student Government","User Interface Design, Computer Networks",1,"Analytical, Collaborative",MS in Data Science
"Game Development, Ethical Hacking, Mobile App Development",Hybrid,6.2,"Collaboration, Presentation Skills, Planning and Organization, Creative Thinking","Assembly, Julia","Jupyter Notebook, Scikit-learn, AWS, PyCharm",,False,False,6,"Student Government, AR/VR Projects","Theory of Computation, Economics, Calculus",3,Pragmatic,Business Analyst
"Machine Learning, Digital Marketing, Frontend Development",Hybrid,9.6,Negotiation,,"Express.js, VS Code, Node.js, Jenkins, Laravel","Frontend Development Libraries (freeCodeCamp), Responsive Web Design (freeCodeCamp)",False,False,1,"UI/UX Projects, Gaming, Blogging","Web Technologies, Human Computer Interaction, Data Mining",1,Creative,Software Developer (Frontend)
"Quantum Computing, Embedded Systems, Design Systems",Hybrid,8.8,Resilience,Haskell,"Weights & Biases, Power BI, Unreal Engine, Android Studio, Spring Boot",Project Management Professional (PMP),False,False,3,Technical Writing,"Quantum Computing, Artificial Intelligence, Cloud Computing, Mobile Application Development",1,Systematic,Embedded Systems Engineer
"Data Science, Big Data",Remote,6.5,"Planning and Organization, Conflict Resolution, Adaptability, Empathy","JavaScript, Python, R","Selenium, PostgreSQL, TensorFlow","Google Data Analytics Certificate, Machine Learning (Stanford/Coursera), IBM Data Science Professional Certificate",True,True,2,"Hackathons, Photography, AR/VR Projects","Probability and Statistics, Data Structures and Algorithms",4,"Critical Thinking, Pragmatic",Data Scientist
"Artificial Intelligence, Site Reliability Engineering (SRE), Education Technology",Hybrid,6.9,"Innovative Thinking, Multitasking, Resilience, Work Ethic, Negotiation","Python, HTML, PHP, Go","ELK Stack, Adobe XD, Vue.js, AWS, React Native, Xcode",Machine Learning (Stanford/Coursera),False,False,2,"Technical Writing, Video Editing","Machine Learning, Discrete Mathematics, Data Mining, Psychology",2,Experimental,Data Scientist
"Education Technology, Systems Programming",Hybrid,7.6,"Critical Thinking, Conflict Resolution, Attention to Detail, Presentation Skills, Problem Solving",Java,"Sketch, Helm, Unity","Project Management Professional (PMP), iOS App Development with Swift (Apple)",True,False,5,"Podcast Creation, Graphic Design","Distributed Systems, Entrepreneurship, Software Engineering",0,Detail-Oriented,Platform Engineer
"Deep Learning, Web Development, Finance Technology",On-site,8.8,"Collaboration, Accountability, Teamwork","CSS, PHP","MySQL, Flutter, InVision",Oracle Certified Java Programmer,True,False,2,"Graphic Design, Mentorship Programs","Mobile Application Development, Robotics, Psychology",2,Strategic,Network Engineer
Technical Writing,Remote,9.2,Innovative Thinking,,"GitLab CI/CD, Kafka, Figma, PostgreSQL, Cypress","Google Data Analytics Certificate, Linux Foundation Certified Kubernetes Admin, Google UX Design Certificate",False,False,5,Public Speaking,"Entrepreneurship, Human Computer Interaction, Data Mining",4,"Systematic, Strategic",Blockchain Developer
Cloud Computing,On-site,7.7,"Strategic Thinking, Leadership","Python, Scala","Canva, AWS, Bitbucket, Jupyter Notebook, Jest, Selenium",Linux Foundation Certified Kubernetes Admin,True,True,8,"Event Management, Community Service, 3D Modeling","Distributed Systems, Physics, Biology",3,"User-Centered, Creative",Project Manager
"Machine Learning, Embedded Systems, Data Science",Hybrid,6.6,"Attention to Detail, Goal-Oriented Mindset, Accountability, Teamwork, Planning and Organization","Python, R","Jira, Terraform, Scikit-learn, PyCharm, NumPy",,True,True,1,"Gaming, Sports, Open Source Contributions","Operating Systems, Linear Algebra, Economics, Object-Oriented Programming",3,Analytical,Data Scientist
"Education Technology, Systems Programming",On-site,6.2,"Negotiation, Active Listening, Resilience, Attention to Detail, Multitasking",,"Sketch, Figma, Grafana, Unity","Google Data Analytics Certificate, Certified Ethical Hacker (CEH), Docker Certified Associate",False,False,0,"3D Modeling, Photography, AR/VR Projects","Cloud Infrastructure, Entrepreneurship, Information Security, Operating Systems",2,"Detail-Oriented, Collaborative",Platform Engineer
Consulting,Hybrid,7.4,Active Listening,"CSS, Lisp, PHP, Java","Hadoop, Figma, AWS, Bitbucket, Prometheus","Backend Development (Node.js), Oracle Certified Java Programmer",True,True,3,"Mentorship Programs, Workshop Hosting, Robotics Competitions","Data Structures and Algorithms, Cloud Computing, Database Management Systems, Ethical Hacking",3,Collaborative,Big Data Engineer
"Embedded Systems, Technical Writing, Mobile App Development",Remote,8.7,"Time Management, Work Ethic, Resilience","SQL, Dart, Objective-C, C++","Flutter, Xcode, Git","iOS App Development with Swift (Apple), Cisco CCNA",True,True,6,"Graphic Design, Debate Clubs, Student Government","Information Security, Software Engineering, Business Intelligence",3,User-Centered,Mobile Developer (iOS)
"Deep Learning, Software Engineering, Frontend Development",Hybrid,9.8,"Creative Thinking, Conflict Resolution",,"GitLab CI/CD, Angular, Spring Boot, TensorFlow",Kubernetes Certified Administrator (CKA),False,True,1,"UI/UX Projects, Music, Innovation Challenges, Mentorship Programs","Human Computer Interaction, Sociology, Computer Architecture",3,Detail-Oriented,AR/VR Developer
"Quantum Computing, Machine Learning, Systems Programming",Hybrid,8.6,"Innovative Thinking, Empathy",R,"Terraform, Weights & Biases, Google Colab, Ansible, Unreal Engine, Spring Boot","Google Data Analytics Certificate, Certified ScrumMaster (CSM), SAFe Agilist Certification",True,True,5,"Tech Meetups, Debate Clubs, AR/VR Projects","Distributed Systems, Object-Oriented Programming, Computer Vision",1,Systematic,Research Intern (AI/ML)
"Database Engineering, Frontend Development",On-site,7.2,"Goal-Oriented Mindset, Conflict Resolution","MATLAB, C++","CircleCI, Confluence, Docker, Weights & Biases, Jest, Spring Boot",,False,False,4,"Podcast Creation, Public Speaking","Project Management, Data Mining",2,Creative,IoT Engineer
"DevOps, UI/UX Design",Hybrid,9.6,"Planning and Organization, Leadership, Decision Making, Active Listening",Kotlin,"Unreal Engine, Docker, Insomnia",,True,True,0,"Innovation Challenges, Entrepreneurship Clubs, Online Coding Contests, Teaching/TA Work","Big Data Analytics, Ethical Hacking",4,"Strategic, Analytical",Cybersecurity Analyst
"Deep Learning, Site Reliability Engineering (SRE), Frontend Development",On-site,9.1,"Emotional Intelligence, Critical Thinking, Multitasking","Go, Python, Kotlin, Shell (Bash)","Django, Kubernetes, Bitbucket, PostgreSQL, Angular, Spring Boot","Docker Certified Associate, Certified ScrumMaster (CSM), Cisco CCNA",False,False,4,"Mentorship Programs, Graphic Design, Volunteering, Workshop Hosting","Quantum Computing, Sociology",1,Data-driven,AR/VR Developer
"Education Technology, Systems Programming",Hybrid,7.7,"Multitasking, Emotional Intelligence, Critical Thinking",JavaScript,"Prometheus, Unity",Responsive Web Design (freeCodeCamp),True,True,1,"Event Management, Technical Writing, Volunteering, Photography","Entrepreneurship, Database Management Systems, Object-Oriented Programming",4,"Detail-Oriented, Analytical",Platform Engineer
"Networking, Entrepreneurship",On-site,6.9,"Critical Thinking, Accountability, Planning and Organization, Emotional Intelligence","Python, Go, Scala","Adobe XD, CircleCI, Mocha, MongoDB, VS Code, Postman","Docker Certified Associate, Android Developer Certification (Google), Offensive Security Certified Professional (OSCP)",False,False,3,"Case Competitions, Startup Ideation Events, Podcast Creation, Teaching/TA Work","Operating Systems, Database Management Systems, Computer Networks",0,Innovative,Security Engineer
"Project Management, Finance Technology",Remote,7.6,"Attention to Detail, Strategic Thinking, Goal-Oriented Mindset","SQL, Shell (Bash), TypeScript","Xcode, Android Studio, DBT",Google Data Analytics Certificate,True,True,2,"Robotics Competitions, AR/VR Projects, Startup Ideation Events, Video Editing","Cloud Infrastructure, Cloud Computing, IoT (Internet of Things)",3,Pragmatic,Quality Assurance Engineer
"Product Management, Technical Writing",Hybrid,7.3,"Planning and Organization, Creative Thinking, Decision Making, Accountability","Rust, C#, Dart, Scala","PyTorch, MongoDB, Jest, Looker, Xcode, NumPy","Google Cloud Associate Cloud Engineer, Docker Certified Associate",True,True,4,"Entrepreneurship Clubs, Robotics Competitions, Debate Clubs","Probability and Statistics, Data Structures and Algorithms, Operating Systems",2,"Experimental, Data-driven",Research Intern (General)
"Entrepreneurship, Academic Research",Remote,8.2,"Resilience, Creative Thinking, Critical Thinking",,"React, Helm, NumPy",,False,False,1,"Debate Clubs, Gaming, Public Speaking, Community Service","Linear Algebra, Ethical Hacking",3,Big Picture Thinker,Bioinformatics Engineer
Consulting,On-site,7.7,Accountability,"CSS, Kotlin, Julia, C++","AWS, TensorFlow",,False,False,2,"Teaching/TA Work, Club Leadership Roles","Quantum Computing, Cloud Computing, Data Mining, Virtualization and Containers",2,"Collaborative, Result-Oriented",Big Data Engineer
"Mobile App Development, Education Technology",Hybrid,6.4,"Work Ethic, Conflict Resolution, Critical Thinking",HTML,"JUnit, Xcode",,True,False,1,"Podcast Creation, Blogging, 3D Modeling, Gaming","Software Engineering, Object-Oriented Programming",2,"Problem Solving, Collaborative",Mobile Developer (iOS)
"Artificial Intelligence, Deep Learning, Big Data",Remote,7.2,"Communication, Negotiation",,"Confluence, AWS, Docker, Angular, Spring Boot",,True,True,7,"Event Management, 3D Modeling","Human Computer Interaction, Sociology, Data Mining, Digital Logic Design",4,"Experimental, Data-driven",AR/VR Developer
"Web Development, Computer Vision",On-site,6.3,"Problem Solving, Decision Making, Accountability, Conflict Resolution, Adaptability","CSS, Dart, Kotlin, PowerShell","PyTorch, React, Cypress","AWS Certified Cloud Practitioner, Cisco CCNA, Responsive Web Design (freeCodeCamp)",True,True,7,"Club Leadership Roles, Graphic Design","Web Technologies, Database Management Systems",4,"Adaptability, Result-Oriented",Full Stack Developer
"Quantum Computing, DevOps, Mobile App Development",Hybrid,8.5,"Empathy, Conflict Resolution, Leadership, Accountability","Ruby, MATLAB","AWS, Core Data, Jest, Xcode",iOS App Development with Swift (Apple),False,False,6,"Animation Design, UI/UX Projects, Video Editing, Innovation Challenges","Mobile Application Development, Software Engineering",4,Problem Solving,Mobile Developer (iOS)
"Computer Vision, Ethical Hacking, Design Systems",Hybrid,9.3,"Strategic Thinking, Customer Focus, Leadership, Communication, Analytical Thinking","HTML, Swift","Kafka, Scikit-learn, AWS, Swagger","Microsoft Certified Azure Fundamentals, Android Developer Certification (Google)",False,False,4,Event Management,"Economics, User Interface Design, Object-Oriented Programming",4,Big Picture Thinker,Business Analyst
"Quantum Computing, Systems Programming",On-site,6.1,"Goal-Oriented Mindset, Work Ethic","Go, Julia, Haskell","Node.js, Weights & Biases","Salesforce Certified Administrator, Microsoft Certified: Power BI Data Analyst Associate, Microsoft Certified Azure Fundamentals",True,True,6,Volunteering,"Artificial Intelligence, Sociology, Data Mining, Computer Vision",3,Systematic,Research Intern (AI/ML)
"Digital Marketing, Consulting",Hybrid,7.5,Conflict Resolution,"SQL, R, MATLAB, Haskell","Kafka, Figma, AWS, Weights & Biases, Unreal Engine","Docker Certified Associate, ISTQB Foundation Level",True,True,3,"Blogging, Video Editing, Sports, Music","Data Structures and Algorithms, Cloud Computing, Economics, Software Engineering",4,"Collaborative, Result-Oriented",Big Data Engineer
"Deep Learning, Technical Writing",Remote,8.7,Adaptability,"CSS, Kotlin","Adobe XD, Kafka, Pytest, Looker, Android Studio",PCEP – Certified Entry-Level Python Programmer,True,True,1,UI/UX Projects,"Cyber Security, User Interface Design, Computer Networks",2,"Collaborative, Result-Oriented",MS in Data Science
"Natural Language Processing, Education Technology, IoT (Internet of Things)",Hybrid,7.9,"Collaboration, Analytical Thinking","CSS, JavaScript, PHP, Java","Power BI, VS Code, Azure, InVision","HashiCorp Certified: Terraform Associate, Tableau Desktop Specialist, Certified Ethical Hacker (CEH)",True,True,8,,"Chemistry, Technical Communication",4,"Creative, Pragmatic",Ph.D. Candidate
